,date,type,operator,fatalities,location,country,year
13302,18-AUG-1976,DHC-3 Otter,RCMP,0.0,Ile A  la Crosse...,Canada,1976
13303,21-AUG-1976,Convair CV-880,Airtrust Singapore,0.0,Singapore-Seleta...,Singapore,1976
13305,27-AUG-1976,Antonov An-2V,"Aeroflot, Tyumen",0.0,near Beryozovo,Russia,1976
13306,28-AUG-1976,Canadair CC-106 Yukon (CL-44),Aeronaves del Peru,6.0,near Shanisu River,Peru,1976
13307,28-AUG-1976,SE-210 Caravelle III,Air France,1.0,Ho Chi Minh City...,Vietnam,1976
13308,28-AUG-1976,Lockheed C-141A-LM Starlifter,USAF,18.0,Peterborough,U.K.,1976
13309,28-AUG-1976,Lockheed C-141A-LM Starlifter,USAF,23.0,Kangerlussuaq-SA...,Greenland,1976
13310,02-SEP-1976,DC-9-15,AeromAxico,0.0,LAon Airport (BJX),Mexico,1976
13311,03-SEP-1976,Lockheed C-130H Hercules,Venezuela AF,68.0,near Terceira-Lajes A...,Portugal,1976
13312,04-SEP-1976,DHC-3 Otter,Austin Airways,10.0,Abitibi Canyon n...,Canada,1976
13313,04-SEP-1976,DC-9-33RC,KLM,0.0,Larnaca Airport ...,Cyprus,1976
13314,04-SEP-1976,BN-2A-3 Islander,Air MahA,0.0,Praslin Island,Seychelles,1976
13315,07-SEP-1976,Boeing 707-328,Air France,0.0,Ajaccio-Campo de...,France,1976
13316,07-SEP-1976,Douglas C-47 (DC-3),Kelowna Flightcraft,0.0,"near Brockett, BC",Canada,1976
13317,07-SEP-1976,U-1A Otter (DHC-3),Nicaraguan AF,1.0,La Piragua,Nicaragua,1976
13318,08-SEP-1976,Canadair CL-215,Spanish AF,3.0,near Pontevedra,Spain,1976
13319,09-SEP-1976,Antonov An-24RV,"Aeroflot, Belarus",52.0,near Anapa [Black Sea],Russia,1976
13320,09-SEP-1976,Yakovlev Yak-40,"Aeroflot, North Kavkaz",18.0,near Anapa [Black Sea],Russia,1976
13321,10-SEP-1976,Hawker Siddeley HS-121 Trident 3B,British Airways,63.0,near Vrbovec,Croatia,1976
13322,10-SEP-1976,DC-9-32,Inex-Adria Aviopromet,113.0,near Vrbovec,Croatia,1976
13323,10-SEP-1976,Boeing 727-231,TWA,0.0,"Montreal, Gander...",France,1976
13325,15-SEP-1976,Lockheed SP-2E Neptune,Argentine Navy,11.0,Livingston Island,Antarctica,1976
13326,16-SEP-1976,Curtiss C-46D,Aerosucre Colombia,2.0,near Aruba,Aruba,1976
13327,17-SEP-1976,Douglas C-47A (DC-3),Madhya Pradesh Government,0.0,Bhopal Airport (...,India,1976
13328,19-SEP-1976,Boeing 727-2F2,THY,154.0,near Isparta,Turkey,1976
13329,22-SEP-1976,DHC-6 Twin Otter 100,Airwest Airlines,1.0,"near Mosher Creek, BC",Canada,1976
13331,26-SEP-1976,Boeing KC-135A,USAF,15.0,"near Alpena, MI",USA,1976
13332,26-SEP-1976,Learjet 25C,Banco Real,7.0,near SAo Paulo-Virac...,Brazil,1976
13333,26-SEP-1976,Grumman G-1159 Gulfstream II,Johnson & Johnson,11.0,Hot Springs-Inga...,USA,1976
13336,02-OCT-1976,Antonov An-2T,"Aeroflot, East Siberia",0.0,"near Khoito-Gol, Kyre...",Russia,1976
13337,04-OCT-1976,Douglas DC-7CF,Emirates Air Transport,4.0,near Nairobi,Kenya,1976
13338,06-OCT-1976,Douglas DC-8-43,Cubana,73.0,near Bridgetown Inter...,Barbados,1976
13339,12-OCT-1976,SE-210 Caravelle VI-N,Indian Airlines,95.0,Bombay-Santacruz...,India,1976
13341,13-OCT-1976,Douglas DC-6B,Ethiopian Airlines,0.0,Asmara Internati...,Eritrea,1976
13342,13-OCT-1976,Beech A100 King Air,Unknown,5.0,near San Luis Potosi,Mexico,1976
13343,25-OCT-1976,Douglas C-47 (DC-3),El Venado,36.0,near El Yopal Airport...,Colombia,1976
13344,28-OCT-1976,Embraer EMB-110C Bandeirante,Nordeste Linhas AAreas,2.0,near Petrolina Intern...,Brazil,1976
13347,30-OCT-1976,Ilyushin Il-18V,"Aeroflot, Uzbekistan",0.0,Tashkent Airport...,Uzbekistan,1976
13348,30-OCT-1976,Convair CV-440-88,OMCO Petroleum Co.,0.0,Cairo Internatio...,Egypt,1976
13350,04-NOV-1976,Fokker F-27 Friendship 100,Bali Int. Air Service,29.0,near Banjarmasin-Sjam...,Indonesia,1976
13351,04-NOV-1976,Tupolev Tu-134A,LOT,0.0,Wien-Schwechat I...,Austria,1976
13352,05-NOV-1976,Douglas DC-3,Inair Panama,2.0,between CuraAao...,Atlantic Ocean,1976
13353,12-NOV-1976,Cessna 500 Citation I,Taxi AAreo Jaragua,0.0,Rio de Janeiro-S...,Brazil,1976
13354,12-NOV-1976,Dassault Falcon 20E,Reynolds Tobacco,0.0,"Naples Airport, ...",USA,1976
